,station,region,region_code,location,coordinates,latitude,longitude
159,Акжар,Восточно-Казахстанская область,KZ-VOS,"Акжар, Восточно-Казахстанская область, Казахстан","Ақжар, Тарбағатай ауданы, Шығыс Қазақстан облысы, Қазақстан",47.57553907723516,83.69062936744373
160,Аксуат,Восточно-Казахстанская область,KZ-VOS,"Аксуат, Восточно-Казахстанская область, Казахстан","Ақсуат, Күршім ауданы, Шығыс Қазақстан облысы, Қазақстан",48.2211977,83.6959288
161,Актогай,Восточно-Казахстанская область,KZ-VOS,"Актогай, Восточно-Казахстанская область, Казахстан",,46.9550424,79.67825069
162,Аягоз,Восточно-Казахстанская область,KZ-VOS,"Аягоз, Восточно-Казахстанская область, Казахстан",,47.9752866,80.43263334
163,Бакты,Восточно-Казахстанская область,KZ-VOS,"Бакты, Восточно-Казахстанская область, Казахстан",,46.65722966,82.72923561
164,Баршатас,Восточно-Казахстанская область,KZ-VOS,"Баршатас, Восточно-Казахстанская область, Казахстан",,48.166655,78.66666818
165,Боран,Восточно-Казахстанская область,KZ-VOS,"Боран, Восточно-Казахстанская область, Казахстан","Боран, Күршім ауданы, Шығыс Қазақстан облысы, Қазақстан",48.0121383,85.1939687
166,Дмитриевка,Восточно-Казахстанская область,KZ-VOS,"Дмитриевка, Восточно-Казахстанская область, Казахстан",,50.76164638,80.83533477
167,Жалгызтобе,Восточно-Казахстанская область,KZ-VOS,"Жалгызтобе, Восточно-Казахстанская область, Казахстан","Жалгызтобе, Ұлан ауданы, Шығыс Қазақстан облысы, Қазақстан",47.36921810341232,84.00590692005814
168,Зайсан,Восточно-Казахстанская область,KZ-VOS,"Зайсан, Восточно-Казахстанская область, Казахстан","Зайсан көлі, Шығыс Қазақстан облысы, Қазақстан",47.47058718891991,84.87509764290279
169,Заповедник Маркаколь,Восточно-Казахстанская область,KZ-VOS,"Заповедник Маркаколь, Восточно-Казахстанская область, Казахстан",,48.74426279,85.79125388
170,Зыряновск,Восточно-Казахстанская область,KZ-VOS,"Зыряновск, Восточно-Казахстанская область, Казахстан","Алтай, Алтай ауданы, Шығыс Қазақстан облысы, 493730, Қазақстан",49.724243,84.275146
171,Кайнар,Восточно-Казахстанская область,KZ-VOS,"Кайнар, Восточно-Казахстанская область, Казахстан","Кайнар, Күршім ауданы, Шығыс Қазақстан облысы, Қазақстан",48.813541,83.809784
172,Карауыл,Восточно-Казахстанская область,KZ-VOS,"Карауыл, Восточно-Казахстанская область, Казахстан",,48.94558177,79.25385139
173,Катон-Карагай,Восточно-Казахстанская область,KZ-VOS,"Катон-Карагай, Восточно-Казахстанская область, Казахстан","Катонқарағай, Шығыс Қазақстан облысы, Қазақстан",49.1776001,85.6063821
174,Куршим,Восточно-Казахстанская область,KZ-VOS,"Куршим, Восточно-Казахстанская область, Казахстан","Күршім, Күршім ауданы, Шығыс Қазақстан облысы, 071200, Қазақстан",48.5656876,83.6524237
175,Лениногорск,Восточно-Казахстанская область,KZ-VOS,"Лениногорск, Восточно-Казахстанская область, Казахстан","Риддер қалалық әкімдігі, Шығыс Қазақстан облысы, Қазақстан",50.338932,83.506157
176,Самарка,Восточно-Казахстанская область,KZ-VOS,"Самарка, Восточно-Казахстанская область, Казахстан","Самар, Самарское, Самар ауданы, Шығыс Қазақстан облысы, 071010, Қазақстан",49.0204765,83.3658198
177,Селезневка,Восточно-Казахстанская область,KZ-VOS,"Селезневка, Восточно-Казахстанская область, Казахстан","Селезнёвка станциясы, Алтай ауданы, Шығыс Қазақстан облысы, Қазақстан",49.6682806,83.4995806
178,Семипалатинск,Восточно-Казахстанская область,KZ-VOS,"Семипалатинск, Восточно-Казахстанская область, Казахстан",,50.42441043,80.24393085
179,Семиярка,Восточно-Казахстанская область,KZ-VOS,"Семиярка, Восточно-Казахстанская область, Казахстан",,50.90008158,78.31297751
180,Теректы,Восточно-Казахстанская область,KZ-VOS,"Теректы, Восточно-Казахстанская область, Казахстан","Марқакөл, Күршім ауданы, Шығыс Қазақстан облысы, Қазақстан",48.4269057,85.7338403
181,Тугыл,Восточно-Казахстанская область,KZ-VOS,"Тугыл, Восточно-Казахстанская область, Казахстан","Тұғыл, Тарбағатай ауданы, Шығыс Қазақстан облысы, Қазақстан",47.727528,84.208084
182,Улькен Нарын,Восточно-Казахстанская область,KZ-VOS,"Улькен Нарын, Восточно-Казахстанская область, Казахстан","Катонқарағай ауданы, Шығыс Қазақстан облысы, 070900, Қазақстан",49.213886,84.508766
183,Уржар,Восточно-Казахстанская область,KZ-VOS,"Уржар, Восточно-Казахстанская область, Казахстан",,47.08704949,81.63109329
184,Усть-Каменогорск,Восточно-Казахстанская область,KZ-VOS,"Усть-Каменогорск, Восточно-Казахстанская область, Казахстан","Өскемен қ.ә., Шығыс Қазақстан облысы, Қазақстан",49.9484438,82.6274791
185,Шалабай,Восточно-Казахстанская область,KZ-VOS,"Шалабай, Восточно-Казахстанская область, Казахстан",,49.69978982,81.507077
186,Шар,Восточно-Казахстанская область,KZ-VOS,"Шар, Восточно-Казахстанская область, Казахстан",,49.58477058,81.04716828
187,Шемонаиха,Восточно-Казахстанская область,KZ-VOS,"Шемонаиха, Восточно-Казахстанская область, Казахстан","Шемонаиха, Шемонаиха ауданы, Шығыс Қазақстан облысы, Қазақстан",50.6287241,81.9155467
188,Арыс,Туркестанская область,KZ-YUZ,"Арыс, Туркестанская область, Казахстан","Арыс қаласының әкімшілігі, Түркістан облысы, Қазақстан",42.4324695,68.8134889
189,Аул Турара Рыскулова,Туркестанская область,KZ-YUZ,"Аул Турара Рыскулова, Туркестанская область, Казахстан",,42.54574442,70.34119083
190,Ащысай,Туркестанская область,KZ-YUZ,"Ащысай, Туркестанская область, Казахстан","Ащысай, Кентау Қ.Ә., Түркістан облысы, Қазақстан",43.556120233591706,68.89676564876918
191,Жетысай,Туркестанская область,KZ-YUZ,"Жетысай, Туркестанская область, Казахстан","Жетісай, Жетісай ауданы, Түркістан облысы, Қазақстан",40.777134,68.324677
192,им.Кожахметова,Туркестанская область,KZ-YUZ,"им.Кожахметова, Туркестанская область, Казахстан",,,
193,Казыгурт,Туркестанская область,KZ-YUZ,"Казыгурт, Туркестанская область, Казахстан","Қазығұрт, Қазығұрт ауданы, Түркістан облысы, Қазақстан",41.758801,69.385651
194,Кызылкум,Туркестанская область,KZ-YUZ,"Кызылкум, Туркестанская область, Казахстан","Қызылқұм, Жетісай ауданы, Түркістан облысы, Қазақстан",40.9928142,68.217069
195,Тасарык,Туркестанская область,KZ-YUZ,"Тасарык, Туркестанская область, Казахстан","Тасарық, Төле би ауданы, Түркістан облысы, Қазақстан",42.2403693,70.1331138
196,Тасты,Туркестанская область,KZ-YUZ,"Тасты, Туркестанская область, Казахстан","Тасты, Созақ ауданы, Түркістан облысы, Қазақстан",44.800636,69.168678
197,Туркестан,Туркестанская область,KZ-YUZ,"Туркестан, Туркестанская область, Казахстан","Түркістан, Түркістан Қ.А., Түркістан облысы, 161200, Қазақстан",43.3019457,68.2703698
198,Шардара,Туркестанская область,KZ-YUZ,"Шардара, Туркестанская область, Казахстан","Шардара, Шардара ауданы, Түркістан облысы, 041013, Қазақстан",41.255856,67.975266
199,Шолаккорган,Туркестанская область,KZ-YUZ,"Шолаккорган, Туркестанская область, Казахстан","Шолаққорған, Созақ ауданы, Түркістан облысы, 161000, Қазақстан",43.766701,69.17688
200,Шуылдак,Туркестанская область,KZ-YUZ,"Шуылдак, Туркестанская область, Казахстан",,,
201,Шымкент,Туркестанская область,KZ-YUZ,"Шымкент, Туркестанская область, Казахстан","Шымкент, Көлкент, Сайрам ауданы, Түркістан облысы, 160808, Қазақстан",42.32188194264865,69.58885464824581
202,Аксай,Западно-Казахстанская область,KZ-ZAP,"Аксай, Западно-Казахстанская область, Казахстан","Аксай, Бөрлі ауданы, Батыс Қазақстан облысы, Қазақстан",51.173893,53.011478
203,Джамбейты,Западно-Казахстанская область,KZ-ZAP,"Джамбейты, Западно-Казахстанская область, Казахстан",,50.26055173,52.60195228
204,Джангала,Западно-Казахстанская область,KZ-ZAP,"Джангала, Западно-Казахстанская область, Казахстан",,49.2142027,50.30167586
205,Джаныбек,Западно-Казахстанская область,KZ-ZAP,"Джаныбек, Западно-Казахстанская область, Казахстан",,49.42126899,46.84634692
206,Жалпактал,Западно-Казахстанская область,KZ-ZAP,"Жалпактал, Западно-Казахстанская область, Казахстан","Жалпактал, Казталов ауданы, Батыс Қазақстан облысы, Қазақстан",49.670628,49.473915
207,Каменка,Западно-Казахстанская область,KZ-ZAP,"Каменка, Западно-Казахстанская область, Казахстан","Тасқала, Тасқала ауданы, Батыс Қазақстан облысы, 091000, Қазақстан",51.106861,50.291088
208,Каратюба,Западно-Казахстанская область,KZ-ZAP,"Каратюба, Западно-Казахстанская область, Казахстан",,49.6911732,53.51097086
209,Тайпак,Западно-Казахстанская область,KZ-ZAP,"Тайпак, Западно-Казахстанская область, Казахстан","Тайпақ, Ақжайық ауданы, Батыс Қазақстан облысы, Қазақстан",49.037285,51.830154
210,Уральск,Западно-Казахстанская область,KZ-ZAP,"Уральск, Западно-Казахстанская область, Казахстан","Орал Қ.Ә., Батыс Қазақстан облысы, Қазақстан",51.2040697,51.3707863
211,Урда,Западно-Казахстанская область,KZ-ZAP,"Урда, Западно-Казахстанская область, Казахстан","Хан Ордасы, Бокейординский район - Бөкей Орда ауданы, Батыс Қазақстан облысы, Қазақстан",48.769749,47.430492
212,Чапаево,Западно-Казахстанская область,KZ-ZAP,"Чапаево, Западно-Казахстанская область, Казахстан","157, Жанибек - Чапаев, Казталов ауданы, Батыс Қазақстан облысы, Қазақстан",50.17742771190655,51.168484315420905
213,Чингирлау,Западно-Казахстанская область,KZ-ZAP,"Чингирлау, Западно-Казахстанская область, Казахстан","Шыңғырлау, Шыңғырлау ауданы, Батыс Қазақстан облысы, 091200, Қазақстан",51.100506,54.085167
214,Январцево,Западно-Казахстанская область,KZ-ZAP,"Январцево, Западно-Казахстанская область, Казахстан","Январцево, Зеленов ауданы, Батыс Қазақстан облысы, Қазақстан",51.443405,52.247547
215,Жанатас,Жамбылская область,KZ-ZHA,"Жанатас, Жамбылская область, Казахстан","Жаңатас, Сарысу ауданы, Жамбыл облысы, 080700, Қазақстан",43.5567547,69.7265539
216,Каратау,Жамбылская область,KZ-ZHA,"Каратау, Жамбылская область, Казахстан","Қаратау, Талас ауданы, Жамбыл облысы, Қазақстан",43.176197,70.46489
217,Кордай,Жамбылская область,KZ-ZHA,"Кордай, Жамбылская область, Казахстан","Қордай, Қордай ауданы, Жамбыл облысы, 080400, Қазақстан",43.042965,74.714485
218,Кулан,Жамбылская область,KZ-ZHA,"Кулан, Жамбылская область, Казахстан","Құлан, Тұрар Рысқұлов ауданы, Жамбыл облысы, Қазақстан",42.910576,72.715652
219,Мерке,Жамбылская область,KZ-ZHA,"Мерке, Жамбылская область, Казахстан","Меркі, Меркі ауданы, Жамбыл облысы, Қазақстан",42.8713714,73.1738583
220,Мойынкум,Жамбылская область,KZ-ZHA,"Мойынкум, Жамбылская область, Казахстан","Мойынқұм, Мойынқұм ауданы, Жамбыл облысы, Қазақстан",44.28545,72.94297
221,Саудакент,Жамбылская область,KZ-ZHA,"Саудакент, Жамбылская область, Казахстан","Саудакент, Сарысу ауданы, Жамбыл облысы, Қазақстан",43.735256,69.924622
222,Тараз,Жамбылская область,KZ-ZHA,"Тараз, Жамбылская область, Казахстан","Тараз, Тараз Қ.Ә., Жамбыл облысы, 080000, Қазақстан",42.9015945,71.3769302
223,Толе би,Жамбылская область,KZ-ZHA,"Толе би, Жамбылская область, Казахстан","Төле би, Шу ауданы, Жамбыл облысы, Қазақстан",43.681767,73.762444
224,Уюк,Жамбылская область,KZ-ZHA,"Уюк, Жамбылская область, Казахстан","Ойық, Талас ауданы, Жамбыл облысы, Қазақстан",43.781734,70.955589
225,Хантау,Жамбылская область,KZ-ZHA,"Хантау, Жамбылская область, Казахстан","Хантау, Мойынқұм ауданы, Жамбыл облысы, Қазақстан",44.226612,73.795189
226,Чиганак,Жамбылская область,KZ-ZHA,"Чиганак, Жамбылская область, Казахстан","Шығанақ, Мойынқұм ауданы, Жамбыл облысы, Қазақстан",45.1064432,73.975037
227,Шокпар,Жамбылская область,KZ-ZHA,"Шокпар, Жамбылская область, Казахстан","Шоқпар, Шу ауданы, Жамбыл облысы, Қазақстан",43.825256,74.378639
